Cashmere Cat,Love Incredible (feat. Camila Cabello),2017,Downtempo,180
Cashmere Cat,Miss You (with Major Lazer & Tory Lanez),2018,Downtempo,186
Charli XCX,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr鋞er,2014,Candy Pop,169
Charlie Puth,One Call Away (feat. Tyga) - Remix,2016,Dance Pop,192
Charlie Puth,We Don't Talk Anymore - DROELOE Remix,2017,Dance Pop,218
Charlie Puth,Attention,2018,Dance Pop,209
Chris Brown,Yeah 3x,2011,Dance Pop,242
Chris Brown,Turn Up the Music,2012,Dance Pop,228
Chris Brown,No Guidance (feat. Drake),2019,Dance Pop,261
Christina Aguilera,Bound To You - Burlesque Original Motion Picture Soundtrack,2010,Dance Pop,264
Christina Aguilera,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,2010,Dance Pop,185
Christina Aguilera,You Lost Me,2010,Dance Pop,257
Christina Aguilera,Not Myself Tonight,2010,Dance Pop,186
Christina Aguilera,Genie In a Bottle,2015,Dance Pop,218
Christina Aguilera,Change,2016,Dance Pop,187
Christina Perri,A Thousand Years,2011,Dance Pop,285
Christina Perri,Jar of Hearts,2011,Dance Pop,247
Christina Perri,human,2014,Dance Pop,251
Ciara,Overdose,2013,Dance Pop,227
Clean Bandit,Rather Be (feat. Jess Glynne),2015,Dance Pop,228
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2017,Dance Pop,251
CNCO,Reggaet髇 Lento (Remix),2017,Boy Band,189
Coldplay,Paradise,2012,Permanent Wave,279
Coldplay,Atlas - From 揟he Hunger Games: Catching Fire?Soundtrack,2013,Permanent Wave,236
Coldplay,A Sky Full of Stars,2014,Permanent Wave,268
Coldplay,A L I E N S,2017,Permanent Wave,282
Daddy Yankee,Con Calma - Remix,2019,Latin,181
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2013,Electro,248
Daft Punk,Lose Yourself to Dance,2013,Electro,354
Dan + Shay,Tequila,2018,Contemporary Country,196
David Guetta,Sexy Bitch (feat. Akon),2010,Dance Pop,196
David Guetta,Without You (feat. Usher),2011,Dance Pop,208
David Guetta,Titanium (feat. Sia),2012,Dance Pop,245
David Guetta,Play Hard (feat. Ne-Yo & Akon) - New Edit,2013,Dance Pop,209
David Guetta,Shot Me Down (feat. Skylar Grey) - Radio Edit,2014,Dance Pop,191
David Guetta,Bang My Head (feat. Sia & Fetty Wap),2015,Dance Pop,193
David Guetta,Yesterday (feat. Bebe Rexha),2015,Dance Pop,243
David Guetta,2U (feat. Justin Bieber),2018,Dance Pop,195
Demi Lovato,Heart Attack,2013,Dance Pop,211
Demi Lovato,Made In The USA,2013,Dance Pop,196
